entity,token_type,subj,property,query_fwd,query_rev,fwd_choices,rev_choices,answer_fwd,answer_rev,foil1,foil2,foil3,orig_entity
cow,rare_token,Vaynol,category_membership,a <subj> is a <answer>,one kind of <answer> is a <subj>,"['cow', 'dog', 'cat', 'pig', 'bird', 'bee', 'fish', 'snake']","['Vaynol', 'Andrena', 'Tamworth', 'Ninia', 'grouper', 'Puli', 'Owlet', 'Maine Coon']",cow,Vaynol,,,,
pig,rare_token,Tamworth,category_membership,a <subj> is a <answer>,one kind of <answer> is a <subj>,"['pig', 'dog', 'cat', 'cow', 'bird', 'bee', 'fish', 'snake']","['Tamworth', 'Andrena', 'Ninia', 'grouper', 'Puli', 'Owlet', 'Vaynol', 'Maine Coon']",pig,Tamworth,,,,
bird,rare_token,Owlet,category_membership,a <subj> is a <answer>,one kind of <answer> is a <subj>,"['bird', 'dog', 'cat', 'cow', 'pig', 'bee', 'fish', 'snake']","['Owlet', 'Andrena', 'Tamworth', 'Ninia', 'grouper', 'Puli', 'Vaynol', 'Maine Coon']",bird,Owlet,,,,
bee,rare_token,Andrena,category_membership,a <subj> is a <answer>,one kind of <answer> is a <subj>,"['bee', 'dog', 'cat', 'cow', 'pig', 'bird', 'fish', 'snake']","['Andrena', 'Tamworth', 'Ninia', 'grouper', 'Puli', 'Owlet', 'Vaynol', 'Maine Coon']",bee,Andrena,,,,
fish,rare_token,grouper,category_membership,a <subj> is a <answer>,one kind of <answer> is a <subj>,"['fish', 'dog', 'cat', 'cow', 'pig', 'bird', 'bee', 'snake']","['grouper', 'Tamworth', 'Andrena', 'Ninia', 'Puli', 'Owlet', 'Vaynol', 'Maine Coon']",fish,grouper,,,,
snake,rare_token,Ninia,category_membership,a <subj> is a <answer>,one kind of <answer> is a <subj>,"['snake', 'dog', 'cat', 'cow', 'pig', 'bird', 'bee', 'fish']","['Ninia', 'Tamworth', 'Andrena', 'grouper', 'Puli', 'Owlet', 'Vaynol', 'Maine Coon']",snake,Ninia,,,,
dog,typical_token,Labrador,category_membership1,"which is where the name originates. In any case, a <subj> is a kind of <answer>","which is where the name originates. In any case, one kind of <answer> is a <subj>","['dog', 'cat', 'cow', 'pig', 'bird', 'bee', 'fish', 'snake']","['Labrador', 'Holstein', 'cobra', 'trout', 'sparrow', 'bumblebee', 'Siamese', 'Hampshire']",dog,Labrador,,,,
cat,typical_token,Siamese,category_membership1,"which is where the name originates. In any case, a <subj> is a kind of <answer>","which is where the name originates. In any case, one kind of <answer> is a <subj>","['cat', 'dog', 'cow', 'pig', 'bird', 'bee', 'fish', 'snake']","['Siamese', 'Holstein', 'cobra', 'Labrador', 'trout', 'sparrow', 'bumblebee', 'Hampshire']",cat,Siamese,,,,
cow,typical_token,Holstein,category_membership1,"which is where the name originates. In any case, a <subj> is a kind of <answer>","which is where the name originates. In any case, one kind of <answer> is a <subj>","['cow', 'dog', 'cat', 'pig', 'bird', 'bee', 'fish', 'snake']","['Holstein', 'cobra', 'Labrador', 'trout', 'sparrow', 'bumblebee', 'Siamese', 'Hampshire']",cow,Holstein,,,,
pig,typical_token,Hampshire,category_membership1,"which is where the name originates. In any case, a <subj> is a kind of <answer>","which is where the name originates. In any case, one kind of <answer> is a <subj>","['pig', 'dog', 'cat', 'cow', 'bird', 'bee', 'fish', 'snake']","['Hampshire', 'Holstein', 'cobra', 'Labrador', 'trout', 'sparrow', 'bumblebee', 'Siamese']",pig,Hampshire,,,,
bird,typical_token,sparrow,category_membership1,"which is where the name originates. In any case, a <subj> is a kind of <answer>","which is where the name originates. In any case, one kind of <answer> is a <subj>","['bird', 'dog', 'cat', 'cow', 'pig', 'bee', 'fish', 'snake']","['sparrow', 'Holstein', 'cobra', 'Labrador', 'trout', 'bumblebee', 'Siamese', 'Hampshire']",bird,sparrow,,,,
bee,typical_token,bumblebee,category_membership1,"which is where the name originates. In any case, a <subj> is a kind of <answer>","which is where the name originates. In any case, one kind of <answer> is a <subj>","['bee', 'dog', 'cat', 'cow', 'pig', 'bird', 'fish', 'snake']","['bumblebee', 'Holstein', 'cobra', 'Labrador', 'trout', 'sparrow', 'Siamese', 'Hampshire']",bee,bumblebee,,,,
fish,typical_token,trout,category_membership1,"which is where the name originates. In any case, a <subj> is a kind of <answer>","which is where the name originates. In any case, one kind of <answer> is a <subj>","['fish', 'dog', 'cat', 'cow', 'pig', 'bird', 'bee', 'snake']","['trout', 'Holstein', 'cobra', 'Labrador', 'sparrow', 'bumblebee', 'Siamese', 'Hampshire']",fish,trout,,,,
snake,typical_token,cobra,category_membership1,"which is where the name originates. In any case, a <subj> is a kind of <answer>","which is where the name originates. In any case, one kind of <answer> is a <subj>","['snake', 'dog', 'cat', 'cow', 'pig', 'bird', 'bee', 'fish']","['cobra', 'Holstein', 'Labrador', 'trout', 'sparrow', 'bumblebee', 'Siamese', 'Hampshire']",snake,cobra,,,,
dog,rare_token,Puli,category_membership1,"which is where the name originates. In any case, a <subj> is a kind of <answer>","which is where the name originates. In any case, one kind of <answer> is a <subj>","['dog', 'cat', 'cow', 'pig', 'bird', 'bee', 'fish', 'snake']","['Puli', 'Andrena', 'Tamworth', 'Ninia', 'grouper', 'Vaynol', 'Owlet', 'Maine Coon']",dog,Puli,,,,
cat,rare_token,Maine Coon,category_membership1,"which is where the name originates. In any case, a <subj> is a kind of <answer>","which is where the name originates. In any case, one kind of <answer> is a <subj>","['cat', 'dog', 'cow', 'pig', 'bird', 'bee', 'fish', 'snake']","['Maine Coon', 'Andrena', 'Tamworth', 'Ninia', 'grouper', 'Puli', 'Owlet', 'Vaynol']",cat,Maine Coon,,,,
cow,rare_token,Vaynol,category_membership1,"which is where the name originates. In any case, a <subj> is a kind of <answer>","which is where the name originates. In any case, one kind of <answer> is a <subj>","['cow', 'dog', 'cat', 'pig', 'bird', 'bee', 'fish', 'snake']","['Vaynol', 'Andrena', 'Tamworth', 'Ninia', 'grouper', 'Puli', 'Owlet', 'Maine Coon']",cow,Vaynol,,,,
pig,rare_token,Tamworth,category_membership1,"which is where the name originates. In any case, a <subj> is a kind of <answer>","which is where the name originates. In any case, one kind of <answer> is a <subj>","['pig', 'dog', 'cat', 'cow', 'bird', 'bee', 'fish', 'snake']","['Tamworth', 'Andrena', 'Ninia', 'grouper', 'Puli', 'Owlet', 'Vaynol', 'Maine Coon']",pig,Tamworth,,,,
bird,rare_token,Owlet,category_membership1,"which is where the name originates. In any case, a <subj> is a kind of <answer>","which is where the name originates. In any case, one kind of <answer> is a <subj>","['bird', 'dog', 'cat', 'cow', 'pig', 'bee', 'fish', 'snake']","['Owlet', 'Andrena', 'Tamworth', 'Ninia', 'grouper', 'Puli', 'Vaynol', 'Maine Coon']",bird,Owlet,,,,
bee,rare_token,Andrena,category_membership1,"which is where the name originates. In any case, a <subj> is a kind of <answer>","which is where the name originates. In any case, one kind of <answer> is a <subj>","['bee', 'dog', 'cat', 'cow', 'pig', 'bird', 'fish', 'snake']","['Andrena', 'Tamworth', 'Ninia', 'grouper', 'Puli', 'Owlet', 'Vaynol', 'Maine Coon']",bee,Andrena,,,,
fish,rare_token,grouper,category_membership1,"which is where the name originates. In any case, a <subj> is a kind of <answer>","which is where the name originates. In any case, one kind of <answer> is a <subj>","['fish', 'dog', 'cat', 'cow', 'pig', 'bird', 'bee', 'snake']","['grouper', 'Tamworth', 'Andrena', 'Ninia', 'Puli', 'Owlet', 'Vaynol', 'Maine Coon']",fish,grouper,,,,
snake,rare_token,Ninia,category_membership1,"which is where the name originates. In any case, a <subj> is a kind of <answer>","which is where the name originates. In any case, one kind of <answer> is a <subj>","['snake', 'dog', 'cat', 'cow', 'pig', 'bird', 'bee', 'fish']","['Ninia', 'Tamworth', 'Andrena', 'grouper', 'Puli', 'Owlet', 'Vaynol', 'Maine Coon']",snake,Ninia,,,,
dog,typical_token,Labrador,category_membership2,it is correct to say that any <subj> is a <answer>,it is correct to say that one example of a <answer> is a <subj>,"['dog', 'cat', 'cow', 'pig', 'bird', 'bee', 'fish', 'snake']","['Labrador', 'Holstein', 'cobra', 'trout', 'sparrow', 'bumblebee', 'Siamese', 'Hampshire']",dog,Labrador,,,,
cat,typical_token,Siamese,category_membership2,it is correct to say that any <subj> is a <answer>,it is correct to say that one example of a <answer> is a <subj>,"['cat', 'dog', 'cow', 'pig', 'bird', 'bee', 'fish', 'snake']","['Siamese', 'Holstein', 'cobra', 'Labrador', 'trout', 'sparrow', 'bumblebee', 'Hampshire']",cat,Siamese,,,,
cow,typical_token,Holstein,category_membership2,it is correct to say that any <subj> is a <answer>,it is correct to say that one example of a <answer> is a <subj>,"['cow', 'dog', 'cat', 'pig', 'bird', 'bee', 'fish', 'snake']","['Holstein', 'cobra', 'Labrador', 'trout', 'sparrow', 'bumblebee', 'Siamese', 'Hampshire']",cow,Holstein,,,,
pig,typical_token,Hampshire,category_membership2,it is correct to say that any <subj> is a <answer>,it is correct to say that one example of a <answer> is a <subj>,"['pig', 'dog', 'cat', 'cow', 'bird', 'bee', 'fish', 'snake']","['Hampshire', 'Holstein', 'cobra', 'Labrador', 'trout', 'sparrow', 'bumblebee', 'Siamese']",pig,Hampshire,,,,
bird,typical_token,sparrow,category_membership2,it is correct to say that any <subj> is a <answer>,it is correct to say that one example of a <answer> is a <subj>,"['bird', 'dog', 'cat', 'cow', 'pig', 'bee', 'fish', 'snake']","['sparrow', 'Holstein', 'cobra', 'Labrador', 'trout', 'bumblebee', 'Siamese', 'Hampshire']",bird,sparrow,,,,
bee,typical_token,bumblebee,category_membership2,it is correct to say that any <subj> is a <answer>,it is correct to say that one example of a <answer> is a <subj>,"['bee', 'dog', 'cat', 'cow', 'pig', 'bird', 'fish', 'snake']","['bumblebee', 'Holstein', 'cobra', 'Labrador', 'trout', 'sparrow', 'Siamese', 'Hampshire']",bee,bumblebee,,,,
fish,typical_token,trout,category_membership2,it is correct to say that any <subj> is a <answer>,it is correct to say that one example of a <answer> is a <subj>,"['fish', 'dog', 'cat', 'cow', 'pig', 'bird', 'bee', 'snake']","['trout', 'Holstein', 'cobra', 'Labrador', 'sparrow', 'bumblebee', 'Siamese', 'Hampshire']",fish,trout,,,,
snake,typical_token,cobra,category_membership2,it is correct to say that any <subj> is a <answer>,it is correct to say that one example of a <answer> is a <subj>,"['snake', 'dog', 'cat', 'cow', 'pig', 'bird', 'bee', 'fish']","['cobra', 'Holstein', 'Labrador', 'trout', 'sparrow', 'bumblebee', 'Siamese', 'Hampshire']",snake,cobra,,,,
dog,rare_token,Puli,category_membership2,it is correct to say that any <subj> is a <answer>,it is correct to say that one example of a <answer> is a <subj>,"['dog', 'cat', 'cow', 'pig', 'bird', 'bee', 'fish', 'snake']","['Puli', 'Andrena', 'Tamworth', 'Ninia', 'grouper', 'Vaynol', 'Owlet', 'Maine Coon']",dog,Puli,,,,
cat,rare_token,Maine Coon,category_membership2,it is correct to say that any <subj> is a <answer>,it is correct to say that one example of a <answer> is a <subj>,"['cat', 'dog', 'cow', 'pig', 'bird', 'bee', 'fish', 'snake']","['Maine Coon', 'Andrena', 'Tamworth', 'Ninia', 'grouper', 'Puli', 'Owlet', 'Vaynol']",cat,Maine Coon,,,,
cow,rare_token,Vaynol,category_membership2,it is correct to say that any <subj> is a <answer>,it is correct to say that one example of a <answer> is a <subj>,"['cow', 'dog', 'cat', 'pig', 'bird', 'bee', 'fish', 'snake']","['Vaynol', 'Andrena', 'Tamworth', 'Ninia', 'grouper', 'Puli', 'Owlet', 'Maine Coon']",cow,Vaynol,,,,
pig,rare_token,Tamworth,category_membership2,it is correct to say that any <subj> is a <answer>,it is correct to say that one example of a <answer> is a <subj>,"['pig', 'dog', 'cat', 'cow', 'bird', 'bee', 'fish', 'snake']","['Tamworth', 'Andrena', 'Ninia', 'grouper', 'Puli', 'Owlet', 'Vaynol', 'Maine Coon']",pig,Tamworth,,,,
bird,rare_token,Owlet,category_membership2,it is correct to say that any <subj> is a <answer>,it is correct to say that one example of a <answer> is a <subj>,"['bird', 'dog', 'cat', 'cow', 'pig', 'bee', 'fish', 'snake']","['Owlet', 'Andrena', 'Tamworth', 'Ninia', 'grouper', 'Puli', 'Vaynol', 'Maine Coon']",bird,Owlet,,,,
bee,rare_token,Andrena,category_membership2,it is correct to say that any <subj> is a <answer>,it is correct to say that one example of a <answer> is a <subj>,"['bee', 'dog', 'cat', 'cow', 'pig', 'bird', 'fish', 'snake']","['Andrena', 'Tamworth', 'Ninia', 'grouper', 'Puli', 'Owlet', 'Vaynol', 'Maine Coon']",bee,Andrena,,,,
fish,rare_token,grouper,category_membership2,it is correct to say that any <subj> is a <answer>,it is correct to say that one example of a <answer> is a <subj>,"['fish', 'dog', 'cat', 'cow', 'pig', 'bird', 'bee', 'snake']","['grouper', 'Tamworth', 'Andrena', 'Ninia', 'Puli', 'Owlet', 'Vaynol', 'Maine Coon']",fish,grouper,,,,
snake,rare_token,Ninia,category_membership2,it is correct to say that any <subj> is a <answer>,it is correct to say that one example of a <answer> is a <subj>,"['snake', 'dog', 'cat', 'cow', 'pig', 'bird', 'bee', 'fish']","['Ninia', 'Tamworth', 'Andrena', 'grouper', 'Puli', 'Owlet', 'Vaynol', 'Maine Coon']",snake,Ninia,,,,
dog,typical_token,Labrador,category_membership3,"Answer key:

Answer 1: D) a <subj> is one kind of <answer>","Answer key:

Answer 1: D. Among these choices, the member of the category <answer> is <subj>","['dog', 'cat', 'cow', 'pig', 'bird', 'bee', 'fish', 'snake']","['Labrador', 'Holstein', 'cobra', 'trout', 'sparrow', 'bumblebee', 'Siamese', 'Hampshire']",dog,Labrador,,,,
cat,typical_token,Siamese,category_membership3,"Answer key:

Answer 1: D) a <subj> is one kind of <answer>","Answer key:

Answer 1: D. Among these choices, the member of the category <answer> is <subj>","['cat', 'dog', 'cow', 'pig', 'bird', 'bee', 'fish', 'snake']","['Siamese', 'Holstein', 'cobra', 'Labrador', 'trout', 'sparrow', 'bumblebee', 'Hampshire']",cat,Siamese,,,,
cow,typical_token,Holstein,category_membership3,"Answer key:

Answer 1: D) a <subj> is one kind of <answer>","Answer key:

Answer 1: D. Among these choices, the member of the category <answer> is <subj>","['cow', 'dog', 'cat', 'pig', 'bird', 'bee', 'fish', 'snake']","['Holstein', 'cobra', 'Labrador', 'trout', 'sparrow', 'bumblebee', 'Siamese', 'Hampshire']",cow,Holstein,,,,
pig,typical_token,Hampshire,category_membership3,"Answer key:

Answer 1: D) a <subj> is one kind of <answer>","Answer key:

Answer 1: D. Among these choices, the member of the category <answer> is <subj>","['pig', 'dog', 'cat', 'cow', 'bird', 'bee', 'fish', 'snake']","['Hampshire', 'Holstein', 'cobra', 'Labrador', 'trout', 'sparrow', 'bumblebee', 'Siamese']",pig,Hampshire,,,,
bird,typical_token,sparrow,category_membership3,"Answer key:

Answer 1: D) a <subj> is one kind of <answer>","Answer key:

Answer 1: D. Among these choices, the member of the category <answer> is <subj>","['bird', 'dog', 'cat', 'cow', 'pig', 'bee', 'fish', 'snake']","['sparrow', 'Holstein', 'cobra', 'Labrador', 'trout', 'bumblebee', 'Siamese', 'Hampshire']",bird,sparrow,,,,
bee,typical_token,bumblebee,category_membership3,"Answer key:

Answer 1: D) a <subj> is one kind of <answer>","Answer key:

Answer 1: D. Among these choices, the member of the category <answer> is <subj>","['bee', 'dog', 'cat', 'cow', 'pig', 'bird', 'fish', 'snake']","['bumblebee', 'Holstein', 'cobra', 'Labrador', 'trout', 'sparrow', 'Siamese', 'Hampshire']",bee,bumblebee,,,,
fish,typical_token,trout,category_membership3,"Answer key:

Answer 1: D) a <subj> is one kind of <answer>","Answer key:

Answer 1: D. Among these choices, the member of the category <answer> is <subj>","['fish', 'dog', 'cat', 'cow', 'pig', 'bird', 'bee', 'snake']","['trout', 'Holstein', 'cobra', 'Labrador', 'sparrow', 'bumblebee', 'Siamese', 'Hampshire']",fish,trout,,,,
snake,typical_token,cobra,category_membership3,"Answer key:

Answer 1: D) a <subj> is one kind of <answer>","Answer key:

Answer 1: D. Among these choices, the member of the category <answer> is <subj>","['snake', 'dog', 'cat', 'cow', 'pig', 'bird', 'bee', 'fish']","['cobra', 'Holstein', 'Labrador', 'trout', 'sparrow', 'bumblebee', 'Siamese', 'Hampshire']",snake,cobra,,,,
dog,rare_token,Puli,category_membership3,"Answer key:

Answer 1: D) a <subj> is one kind of <answer>","Answer key:

Answer 1: D. Among these choices, the member of the category <answer> is <subj>","['dog', 'cat', 'cow', 'pig', 'bird', 'bee', 'fish', 'snake']","['Puli', 'Andrena', 'Tamworth', 'Ninia', 'grouper', 'Vaynol', 'Owlet', 'Maine Coon']",dog,Puli,,,,
cat,rare_token,Maine Coon,category_membership3,"Answer key:

Answer 1: D) a <subj> is one kind of <answer>","Answer key:

Answer 1: D. Among these choices, the member of the category <answer> is <subj>","['cat', 'dog', 'cow', 'pig', 'bird', 'bee', 'fish', 'snake']","['Maine Coon', 'Andrena', 'Tamworth', 'Ninia', 'grouper', 'Puli', 'Owlet', 'Vaynol']",cat,Maine Coon,,,,
cow,rare_token,Vaynol,category_membership3,"Answer key:

Answer 1: D) a <subj> is one kind of <answer>","Answer key:

Answer 1: D. Among these choices, the member of the category <answer> is <subj>","['cow', 'dog', 'cat', 'pig', 'bird', 'bee', 'fish', 'snake']","['Vaynol', 'Andrena', 'Tamworth', 'Ninia', 'grouper', 'Puli', 'Owlet', 'Maine Coon']",cow,Vaynol,,,,
pig,rare_token,Tamworth,category_membership3,"Answer key:

Answer 1: D) a <subj> is one kind of <answer>","Answer key:

Answer 1: D. Among these choices, the member of the category <answer> is <subj>","['pig', 'dog', 'cat', 'cow', 'bird', 'bee', 'fish', 'snake']","['Tamworth', 'Andrena', 'Ninia', 'grouper', 'Puli', 'Owlet', 'Vaynol', 'Maine Coon']",pig,Tamworth,,,,
bird,rare_token,Owlet,category_membership3,"Answer key:

Answer 1: D) a <subj> is one kind of <answer>","Answer key:

Answer 1: D. Among these choices, the member of the category <answer> is <subj>","['bird', 'dog', 'cat', 'cow', 'pig', 'bee', 'fish', 'snake']","['Owlet', 'Andrena', 'Tamworth', 'Ninia', 'grouper', 'Puli', 'Vaynol', 'Maine Coon']",bird,Owlet,,,,
bee,rare_token,Andrena,category_membership3,"Answer key:

Answer 1: D) a <subj> is one kind of <answer>","Answer key:

Answer 1: D. Among these choices, the member of the category <answer> is <subj>","['bee', 'dog', 'cat', 'cow', 'pig', 'bird', 'fish', 'snake']","['Andrena', 'Tamworth', 'Ninia', 'grouper', 'Puli', 'Owlet', 'Vaynol', 'Maine Coon']",bee,Andrena,,,,
fish,rare_token,grouper,category_membership3,"Answer key:

Answer 1: D) a <subj> is one kind of <answer>","Answer key:

Answer 1: D. Among these choices, the member of the category <answer> is <subj>","['fish', 'dog', 'cat', 'cow', 'pig', 'bird', 'bee', 'snake']","['grouper', 'Tamworth', 'Andrena', 'Ninia', 'Puli', 'Owlet', 'Vaynol', 'Maine Coon']",fish,grouper,,,,
snake,rare_token,Ninia,category_membership3,"Answer key:

Answer 1: D) a <subj> is one kind of <answer>","Answer key:

Answer 1: D. Among these choices, the member of the category <answer> is <subj>","['snake', 'dog', 'cat', 'cow', 'pig', 'bird', 'bee', 'fish']","['Ninia', 'Tamworth', 'Andrena', 'grouper', 'Puli', 'Owlet', 'Vaynol', 'Maine Coon']",snake,Ninia,,,,
dog,entity,dog,makes_sound,a sound a <subj> makes is <answer>,<answer> is a sound made by a <subj>,"['bark', 'meow', 'moo']","['dog', 'cow', 'pig', 'snake']",bark,dog,meow,moo,,dog
dog,entity,dog,like_to_interact,<subj> are something people like to <answer>,people like to <answer> <subj>,"['pet', 'ride', 'eat']","['dog', 'pig', 'fish', 'snake']",pet,dog,eat,ride,,dog
dog,entity,dog,genus,a <subj> is a <answer>,one type of <answer> is a <subj>,"['mammal', 'aves', 'reptile', 'insect']","['dog', 'cow', 'fish', 'pig']",mammal,dog,aves,reptile,insect,dog
dog,entity,dog,is_domesticated,most <subj> are <answer>,one animal that is typically <answer> is a <subj>,"['domesticated', 'wild']","['dog', 'cat', 'cow', 'fish']",domesticated,dog,wild,,,dog
dog,entity,dog,leg_count,<subj> are animals that have <answer>,<answer> can be found on <subj>,"['four legs', 'six legs', 'no legs', 'two legs']","['dog', 'cow', 'bee', 'fish']",four legs,dog,two legs,six legs,no legs,dog
dog,entity,dog,has,<subj> have <answer>,<answer> are found on <subj>,"['fur', 'feathers', 'scales']","['dog', 'cow', 'bee', 'fish']",fur,dog,scales,feathers,,dog
dog,entity,dog,likes_to,<subj> like to <answer>,to <answer> is something enjoyed by <subj>,"['fetch', 'fly', 'graze']","['dog', 'cat', 'snake', 'fish']",fetch,dog,fly,graze,,dog
dog,entity,dog,moves,<subj> move by <answer>,<answer> is the movement of <subj>,"['walking', 'flying', 'slithering', 'hopping']","['dog', 'cow', 'fish', 'bee']",walking,dog,slithering,flying,hopping,dog
dog,entity,dog,give_birth,<subj> have offspring by <answer>,<answer> is how offspring are made by <subj>,"['live birth', 'laying eggs', 'fragmentation', 'budding']","['dog', 'pig', 'bee', 'pig']",live birth,dog,laying eggs,budding,fragmentation,dog
cat,entity,cat,makes_sound,a sound a <subj> makes is <answer>,<answer> is a sound made by a <subj>,"['meow', 'moo', 'bark', 'chirp']","['cat', 'bee', 'snake', 'dog']",meow,cat,bark,moo,chirp,cat
cat,entity,cat,like_to_interact,<subj> are something people like to <answer>,people like to <answer> <subj>,"['pet', 'ride', 'eat']","['cat', 'bird', 'dog', 'snake']",pet,cat,eat,ride,,cat
cat,entity,cat,food,food for a <subj> must be <answer>,<answer> is the appropriate food for a <subj>,"['meat', 'grass', 'grain']","['cat', 'cow', 'bee', 'fish']",meat,cat,grain,grass,,cat
cat,entity,cat,leg_count,<subj> are animals that have <answer>,<answer> can be found on <subj>,"['four legs', 'six legs', 'eight legs', 'two legs']","['cat', 'bird', 'bee', 'fish']",four legs,cat,two legs,six legs,eight legs,cat
cat,entity,cat,is_domesticated,most <subj> are <answer>,one animal that is typically <answer> is a <subj>,"['domesticated', 'wild']","['cat', 'bird', 'bee', 'bird']",domesticated,cat,wild,,,cat
cat,entity,cat,has,a <subj> has <answer>,an animal with <answer> is a <subj>,"['claws', 'flippers', 'wings', 'fins']","['cat', 'bird', 'fish', 'dog']",claws,cat,flippers,fins,wings,cat
cat,entity,cat,likes_to,<subj> like to <answer>,to <answer> is something enjoyed by <subj>,"['chase', 'fly', 'graze', 'fetch']","['cat', 'cow', 'bird', 'bee']",chase,cat,fly,graze,fetch,cat
cat,entity,cat,moves,<subj> move by <answer>,<answer> is the movement of <subj>,"['walking', 'flying', 'slithering', 'hopping']","['cat', 'cow', 'pig', 'bee']",walking,cat,slithering,flying,hopping,cat
cat,entity,cat,give_birth,<subj> have offspring by <answer>,<answer> is how offspring are made by <subj>,"['live birth', 'laying eggs', 'fragmentation', 'budding']","['dog', 'cat', 'bee', 'fish']",live birth,cat,laying eggs,budding,fragmentation,cat
cow,entity,cow,is_domesticated,most <subj> are <answer>,one animal that is typically <answer> is a <subj>,"['domesticated', 'wild']","['dog', 'cat', 'cow', 'dog']",domesticated,cow,wild,,,cow
cow,entity,cow,leg_count,<subj> are animals that have <answer>,<answer> can be found on <subj>,"['four legs', 'six legs', 'eight legs', 'two legs']","['cow', 'pig', 'bird', 'snake']",four legs,cow,two legs,six legs,eight legs,cow
cow,entity,cow,food,food for a <subj> must be <answer>,<answer> is the appropriate food for a <subj>,"['grain', 'insects', 'meat']","['cow', 'bird', 'fish', 'dog']",grain,cow,meat,insects,,cow
cow,entity,cow,like_to_interact,<subj> are something people like to <answer>,people like to <answer> <subj>,"['eat', 'ride', 'pet']","['cow', 'pig', 'bird', 'pig']",eat,cow,pet,ride,,cow
cow,entity,cow,genus,a <subj> is a <answer>,one type of <answer> is a <subj>,"['mammal', 'aves', 'reptile', 'insect']","['cow', 'bird', 'snake', 'pig']",mammal,cow,aves,reptile,insect,cow
cow,entity,cow,makes_sound,a sound a <subj> makes is <answer>,<answer> is a sound made by a <subj>,"['moo', 'meow', 'bark']","['dog', 'cow', 'pig', 'snake']",moo,cow,meow,bark,,cow
cow,entity,cow,has,<subj> have <answer>,<answer> are found on <subj>,"['hooves', 'wings', 'fins', 'tentacles']","['cow', 'pig', 'bird', 'fish']",hooves,cow,wings,fins,tentacles,cow
cow,entity,cow,likes_to,<subj> like to <answer>,to <answer> is something enjoyed by <subj>,"['graze', 'chase', 'fly', 'fetch']","['cow', 'fish', 'pig', 'bee']",graze,cow,fly,chase,fetch,cow
